Parcel,Address,Date posted,New,Municipality,Cleveland Ward,Bldgs,Status
671-05-053,13319 4th Ave,42684,,East Cleveland,,0,Vacant lot
001-08-059,1330 W 85th St,42682,,Cleveland,15,0,Pending transfer
106-08-083,6805 Lawnview Ave,42682,,Cleveland,7,0,Vacant lot
128-25-076,11424 Continental Ave,42682,,Cleveland,4,0,Vacant lot
016-09-112,3272 W 52nd St,42681,,Cleveland,14,0,Pending transfer
130-01-011,3227 E 116th St,42681,,Cleveland,4,0,Vacant lot
133-11-025,3823 E 78th St,42681,,Cleveland,12,0,Vacant lot
671-16-084,1257 E 143rd St,42681,,East Cleveland,,0,Vacant lot
133-28-013,9023 Harvard Ave,42676,,Cleveland,2,0,Vacant lot
134-01-069,4084 E 72nd St,42676,,Cleveland,12,0,Vacant lot
107-05-047,8013 Bellvue Ave,42675,,Cleveland,9,0,Vacant lot
108-24-053,780 E 102nd St,42674,,Cleveland,9,0,Pending transfer
109-13-002,10718 Earle Ave,42674,,Cleveland,9,0,Vacant lot
109-10-091,10018 Olivet Ave,42671,,Cleveland,9,0,Vacant lot
129-23-182,3039 E 121st St,42671,,Cleveland,4,0,Vacant lot
110-17-180,958 E 131st St,42669,,Cleveland,10,0,Vacant lot
111-09-023,523 E 123rd St,42669,,Cleveland,8,0,Vacant lot
134-13-125,7718 Goodman,42669,,Cleveland,2,0,Vacant lot
129-24-075,12409 Griffing Ave,42668,,Cleveland,4,0,Vacant lot
130-06-078,3340 E 126th St,42668,,Cleveland,4,0,Vacant lot
137-11-097,3636 E 133rd St,42668,,Cleveland,4,0,Vacant lot
139-01-006,14218 Kinsman Rd,42666,,Cleveland,2,0,Pending transfer
105-30-080,964 E 78th St,42664,,Cleveland,9,0,Vacant lot
106-07-152,8102 Decker Ave,42664,,Cleveland,7,0,Vacant lot
120-33-036,1907 Woodlawn Ave,42664,,Cleveland,6,0,Pending transfer
126-17-020,9609 Steinway Ave,42664,,Cleveland,4,0,Vacant lot
127-22-099,9416 Raymond Ave,42664,,Cleveland,6,0,Vacant lot
127-27-045,3456 E 116th St,42664,,Cleveland,4,0,Vacant lot
128-01-103,10515 Grandview Ave,42664,,Cleveland,6,0,Vacant lot
128-10-019,2865 E 97th St,42664,,Cleveland,4,0,Vacant lot
128-10-042,2852 E 99th St,42664,,Cleveland,4,0,Vacant lot
128-11-053,2850 E 100th St,42664,,Cleveland,4,0,Vacant lot
128-13-098,9920 Sophia Ave,42664,,Cleveland,4,0,Vacant lot
128-14-029,10210 Sophia Ave,42664,,Cleveland,4,0,Vacant lot
002-32-061,1833 W. 57th St.,42663,,Cleveland,15,0,Pending transfer
002-32-062,1829 W. 57th St.,42663,,Cleveland,15,0,Pending transfer
011-06-051,4115 Schiller Ave,42663,,Cleveland,13,0,Pending transfer
109-10-134,1235 E 100th St,42663,,Cleveland,9,0,Vacant lot
109-13-004,10726 Earle Ave,42663,,Cleveland,9,0,Vacant lot
109-13-010,10818 Earle Ave,42663,,Cleveland,9,0,Vacant lot
112-03-114,13620 Eaglesmere Ave,42663,,Cleveland,8,0,Vacant lot
115-14-079,1174 E 147th St,42663,,Cleveland,10,0,Vacant lot
125-32-087,6627 Ovington Ave,42663,,Cleveland,6,0,Vacant lot
129-23-041,3070 E 123rd St,42663,,Cleveland,4,0,Vacant lot
138-11-048,4126 E 136th St,42663,,Cleveland,1,0,Vacant lot
011-08-063,3713 Schiller Ave,42662,,Cleveland,13,0,Pending transfer
129-23-122,12025 Continental Ave,42662,,Cleveland,4,0,Vacant lot
129-29-092,12605 Abell Ave,42662,,Cleveland,4,0,Vacant lot
130-01-087,3190 E 118th St,42662,,Cleveland,4,0,Vacant lot
130-16-116,3430 E 146th St,42662,,Cleveland,1,0,Vacant lot
647-37-033,22630 Coulter Ave,42662,,Euclid,,0,Vacant lot
108-26-117,10519 Englewood Ave,42660,,Cleveland,9,0,Pending transfer
130-02-005,3303 E 116th St,42660,,Cleveland,4,0,Pending transfer
138-20-092,4332 E 142nd St,42657,,Cleveland,1,0,Vacant lot
142-01-060,4070 E 143rd St,42657,,Cleveland,1,0,Vacant lot
125-10-020,3187 E 65th St,42655,,Cleveland,5,0,Vacant lot
125-30-042,3345 E 66th St,42655,,Cleveland,6,0,Vacant lot
142-25-140,15103 Naples Ave,42655,,Cleveland,1,0,Vacant lot
021-22-127,3316 W 119th St,42648,,Cleveland,11,0,Vacant lot
132-14-054,6708 Fullerton Ave,42646,,Cleveland,12,0,Vacant lot
134-10-090,7210 Covert Ave,42643,,Cleveland,12,0,Vacant lot
108-21-018,10107 Yale Ave,42640,,Cleveland,9,0,Vacant lot
684-28-094,3317 Desota Ave,42640,,Cleveland Heights,,0,Vacant lot
111-15-107,419 E 123rd St,42636,,Cleveland,8,0,Vacant lot
125-02-113,2971 E 57th St,42636,,Cleveland,5,0,Vacant lot
126-18-047,9624 Steinway Ave,42636,,Cleveland,4,0,Vacant lot
127-11-042,9018 Fuller Ave,42636,,Cleveland,6,0,Vacant lot
131-19-049,3262 E 48th St,42636,,Cleveland,5,0,Vacant lot
138-22-130,14001 Maplerow Ave,42636,,Cleveland,1,0,Vacant lot
673-19-006,1988 Nelawood Rd,42636,,East Cleveland,,0,Vacant lot
784-09-069,16506 Home St,42636,,Maple Heights,,0,Pending transfer
127-22-109,9319 Raymond Ave,42634,,Cleveland,6,0,Vacant lot
127-23-061,9924 Raymond Ave,42634,,Cleveland,6,0,Vacant lot
673-03-104,1776 Rosedale Ave,42634,,East Cleveland,,0,Pending transfer
672-13-022,1858 Woodlawn Ave,42632,,East Cleveland,9,0,Pending transfer
672-14-135,1863 Woodlawn Ave,42632,,East Cleveland,,0,Pending transfer
109-04-044,10207 Parkgate Ave,42629,,Cleveland,9,0,Vacant lot
136-07-010,4003 E 93rd St,42629,,Cleveland,2,0,Vacant lot
005-17-077,2083 W 105,42627,,Cleveland,15,0,Vacant lot
129-28-099,12317 Signet Ave,42627,,Cleveland,4,0,Vacant lot
130-08-116,3397 E 130th St,42627,,Cleveland,4,0,Pending transfer
132-19-031,3995 E 64th St,42627,,Cleveland,12,0,Vacant lot
109-19-088,10816 Olivet Ave,42621,,Cleveland,9,0,Vacant lot
673-27-037,15812 Hazel Rd,42621,,East Cleveland,,0,Pending transfer
113-19-048,16122 Huntmere Ave,42620,,Cleveland,8,0,Vacant lot
130-03-061,3236 E 125th St,42620,,Cleveland,4,0,Vacant lot
137-18-157,13310 Melzer Ave,42620,,Cleveland,4,0,Vacant lot
138-18-053,13726 Beachwood Ave,42620,,Cleveland,1,0,Vacant lot
138-20-021,14210 Caine Ave,42620,,Cleveland,1,0,Vacant lot
142-26-007,4663 E 144th St,42620,,Cleveland,1,0,Vacant lot
002-35-080,1928 W 48th St,42619,,Cleveland,3,0,Pending transfer
006-05-064,7311 Lawn Ave,42619,,Cleveland,15,0,Pending transfer
006-09-045,6805 Lawn Ave,42619,,Cleveland,15,0,Pending transfer
105-24-086,1121 E 66th St,42619,,Cleveland,7,0,Vacant lot
109-09-172,10410 Somerset Ave,42619,,Cleveland,9,0,Vacant lot
109-12-048,10601 Greenlawn Ave,42619,,Cleveland,9,0,Vacant lot
110-21-083,11415 Fairport Ave,42619,,Cleveland,9,0,Vacant lot
110-21-114,11405 Ohlman Ave,42619,,Cleveland,9,0,Vacant lot
125-02-065,2925 E 59th St,42619,,Cleveland,5,0,Pending transfer
127-27-102,3450 E 114th St,42619,,Cleveland,4,0,Vacant lot
128-01-128,10417 Crestwood Ave,42619,,Cleveland,6,0,Vacant lot
129-28-091,12423 Signet Ave,42619,,Cleveland,4,0,Vacant lot
132-12-019,6103 Fullerton Ave,42619,,Cleveland,12,0,Vacant lot
132-13-030,6115 Fullerton Ave,42619,,Cleveland,12,0,Vacant lot
137-09-102,12102 Holborn Ave,42619,,Cleveland,4,0,Vacant lot
137-09-135,12117 Farringdon Ave,42619,,Cleveland,4,0,Vacant lot
137-10-061,12723 Holborn Ave,42619,,Cleveland,4,0,Vacant lot
672-05-098,1266 Rozelle Ave,42619,,East Cleveland,,0,Vacant lot
108-29-030,725 Linn Dr,42612,,Cleveland,9,0,Vacant lot
130-02-066,3317 E 117th St,42612,,Cleveland,4,0,Vacant lot
130-05-010,3257 E 125th St,42612,,Cleveland,4,0,Vacant lot
130-05-039,3241 E 126th St,42612,,Cleveland,4,0,Vacant lot
110-27-046,1181 E 123rd St,42611,,Cleveland,9,0,Vacant lot
016-13-164,3192 W 48th St,42608,,Cleveland,14,0,Vacant lot
016-16-007,3403 W 65th St,42608,,Cleveland,14,1,Sched for demolition
108-24-057,775 E 102nd St,42608,,Cleveland,9,0,Vacant lot
109-13-115,10731 Gooding Ave,42608,,Cleveland,9,0,Vacant lot
133-29-071,9110 Cannon Ave,42608,,Cleveland,2,0,Vacant lot
135-03-003,9812 Union Ave,42608,,Cleveland,6,0,Vacant lot
684-32-056,3160 Whitethorn Rd,42608,,Cleveland Heights,,0,Vacant lot
120-02-010,10910 Superior Ave,42607,,Cleveland,9,0,Pending transfer
125-01-065,6213 Carpenter Ave,42607,,Cleveland,5,0,Pending transfer
125-12-046,2992 E 67th St,42607,,Cleveland,5,0,Pending transfer
126-03-079,2435 E 83rd St,42607,,Cleveland,6,0,Vacant lot
126-17-015,9629 Steinway Ave,42607,,Cleveland,4,0,Vacant lot
126-17-071,10004 Cumberland Ave,42607,,Cleveland,4,0,Pending transfer
126-18-049,9630 Steinway Ave,42607,,Cleveland,4,0,Pending transfer
127-20-022,3328 E 112th St,42607,,Cleveland,4,0,Vacant lot
137-08-045,3640 E 120th St,42607,,Cleveland,4,0,Vacant lot
137-09-114,12312 Holborn Ave,42607,,Cleveland,4,0,Vacant lot
137-15-017,12310 Farringdon Ave,42607,,Cleveland,4,0,Vacant lot
672-14-132,1898 Penrose Ave,42607,,East Cleveland,,0,Vacant lot
672-15-109,1852 Farmington Rd,42607,,East Cleveland,,0,Pending transfer
143-21-045,16604 Chateau Ave,42606,,Cleveland,1,0,Vacant lot
132-16-039,3971 E 55th St,42601,,Cleveland,12,0,Vacant lot
132-18-001,6626 Lansing Ave,42601,,Cleveland,12,0,Vacant lot
132-18-099,6606 Collier Ave,42601,,Cleveland,12,0,Vacant lot
134-05-072,4104 E 81st St,42601,,Cleveland,12,0,Vacant lot
134-22-045,7802 Vineyard Ave,42601,,Cleveland,2,0,Vacant lot
134-24-134,8512 Bancroft Ave,42601,,Cleveland,2,0,Vacant lot
782-02-165,5115 Thomas St,42601,,Maple Heights,,0,Vacant lot
673-11-022,1857 S Taylor Rd,42599,,East Cleveland,,0,Vacant lot
109-08-057,10005 Ostend Ave,42594,,Cleveland,9,0,Vacant lot
109-15-107,10924 Massie Ave,42594,,Cleveland,9,0,Vacant lot
110-21-103,11414 Ohlman Ave,42594,,Cleveland,9,0,Vacant lot
110-23-004,901 Parkway Dr,42594,,Cleveland,9,0,Vacant lot
137-02-094,12409 Rexford Ave,42594,,Cleveland,4,0,Vacant lot
016-09-084,3314 W 54th St,42593,,Cleveland,14,0,Pending transfer
104-17-076,1426 E 61st St,42593,,Cleveland,7,0,Vacant lot
105-30-108,957 E 77th St,42593,,Cleveland,9,0,Vacant lot
108-21-088,9307 Empire Ave,42593,,Cleveland,9,0,Vacant lot
109-02-116,9219 Adams Ave,42593,,Cleveland,9,0,Vacant lot
109-12-074,10516 Columbia Ave,42593,,Cleveland,9,0,Vacant lot
109-12-087,10629 Columbia Ave,42593,,Cleveland,9,0,Vacant lot
111-16-134,12506 Iowa Ave,42593,,Cleveland,8,0,Vacant lot
111-21-051,13401 Earlwood Rd,42593,,Cleveland,8,0,Vacant lot
111-22-010,13810 Coit Rd,42593,,Cleveland,8,0,Pending transfer
115-29-096,983 Evangeline Rd,42593,,Cleveland,8,0,Vacant lot
115-30-011,15244 Saint Clair Ave (east & West),42593,,Cleveland,8,0,Vacant lot
125-34-028,7036 Morgan Ave,42593,,Cleveland,6,0,Vacant lot
127-21-033,3355 E 112th St,42593,,Cleveland,4,0,Vacant lot
130-15-065,3252 E 143rd St,42593,,Cleveland,1,0,Vacant lot
129-25-002,12606 Forest Ave,42591,,Cleveland,4,0,Vacant lot
016-12-078,3330 W 46th St,42590,,Cleveland,14,0,Pending transfer
132-10-064,3776 E 53rd St,42590,,Cleveland,12,0,Vacant lot
133-10-019,7759 Broadway Ave (storefront & Warehouse),42590,,Cleveland,12,2,Pending transfer
672-04-023,1267 E 125th St,42590,,East Cleveland,,0,Vacant lot
672-04-024,1271 E 125th St,42590,,East Cleveland,,0,Vacant lot
761-06-092,19912 Sunset Dr,42590,,Warrensville Heights,,0,Vacant lot
672-01-041,1406 Hower Ave,42584,,Cleveland,,0,Vacant lot
136-17-071,4068 E 108th St,42583,,Cleveland,2,0,Vacant lot
136-17-118,4059 E 108th St,42583,,Cleveland,2,0,Vacant lot
120-33-004,1840 Lakeview Rd,42580,,Cleveland,6,0,Pending transfer
007-28-147,3183 W 44th St,42579,,Cleveland,3,0,Vacant lot
125-02-072,2979 E 59th St,42577,,Cleveland,5,0,Pending transfer
136-19-062,4118 E 114th St,42577,,Cleveland,2,0,Vacant lot
671-02-069,13608 Beaumont St,42577,,East Cleveland,,0,Vacant lot
672-14-032,,42576,,East Cleveland,,0,Pending transfer
672-07-052,1781 Delmont Ave,42573,,East Cleveland,,0,Pending transfer
672-13-016,,42573,,East Cleveland,,0,Pending transfer
672-14-014,1832 Wadena St,42569,,East Cleveland,,0,Pending transfer
116-14-070,719 E 160th St,42566,,Cleveland,8,0,Vacant lot
137-02-107,12109 Rexford Ave,42566,,Cleveland,4,0,Vacant lot
009-02-087,3944 W 21,42565,,Cleveland,12,0,Vacant lot
105-28-035,1200 E 74th St,42565,,Cleveland,7,0,Vacant lot
105-30-066,941 E 78th St,42565,,Cleveland,9,0,Vacant lot
125-34-085,3427 E 73rd St,42565,,Cleveland,6,0,Vacant lot
126-01-030,8101 Platt Ave (fr & Rear),42565,,Cleveland,6,0,Vacant lot
126-06-059,8804 Frederick Ave,42565,,Cleveland,6,0,Vacant lot
126-07-042,8920 Quincy Ave,42565,,Cleveland,6,0,Pending transfer
126-16-088,10112 Woodland Ave,42565,,Cleveland,4,0,Vacant lot
127-23-034,9719 Raymond Ave,42565,,Cleveland,6,0,Vacant lot
671-13-042,14321 Potomac Ave,42565,,East Cleveland,,0,Vacant lot
016-09-052,3353 W 56th St,42564,,Cleveland,14,0,Vacant lot
110-21-142,11324 Durant Ave,42564,,Cleveland,9,0,Vacant lot
135-13-049,3578 E 113th St,42564,,Cleveland,2,0,Vacant lot
110-15-077,777 E 130th St,42562,,Cleveland,10,0,Vacant lot
124-25-041,6919 Kinsman Rd,42562,,Cleveland,5,0,Vacant lot
125-31-008,6926 Morgan Ave,42562,,Cleveland,6,0,Vacant lot
135-02-131,9707 Orleans Ave,42562,,Cleveland,6,0,Vacant lot
135-11-082,3562 E 113th St,42562,,Cleveland,2,0,Vacant lot
672-14-018,1848 Wadena St,42562,,East Cleveland,,0,Pending transfer
672-14-022,1882 Wadena St,42562,,East Cleveland,,0,Pending transfer
672-14-050,1861 Brightwood St,42562,,East Cleveland,,0,Pending transfer
672-14-080,1886 Brightwood St,42562,,East Cleveland,,0,Pending transfer
672-14-095,1881 Penrose Ave,42562,,East Cleveland,,0,Pending transfer
672-14-116,1834 Penrose Ave,42562,,East Cleveland,,0,Pending transfer
672-14-145,1827 Woodlawn Ave,42562,,East Cleveland,,0,Pending transfer
672-14-149,1868 Wadena St (row House),42562,,East Cleveland,,1,Pending transfer
672-14-159,1864 Wadena St (row House),42562,,East Cleveland,,1,Pending transfer
672-14-160,1874 Wadena St (row House),42562,,East Cleveland,,1,Pending transfer
672-15-050,1887 Wadena St,42562,,East Cleveland,,0,Pending transfer
672-15-051,1883 Wadena Ave,42562,,East Cleveland,,0,Pending transfer
672-15-054,1873 Wadena Ave,42562,,East Cleveland,,0,Pending transfer
672-15-066,1821 Wadena Ave,42562,,East Cleveland,,0,Pending transfer
786-01-182,15217 Rockside Rd,42562,,Maple Heights,,0,Vacant lot
016-13-028,3210 W 48th St,42559,,Cleveland,14,0,Pending transfer
125-33-068,3464 E 70th St,42558,,Cleveland,6,0,Vacant lot
126-03-048,2414 E 84th St,42558,,Cleveland,6,0,Vacant lot
123-21-022,4715 Lester St,42557,,Cleveland,5,0,Vacant lot
125-34-025,7048 Morgan Ave,42557,,Cleveland,6,0,Vacant lot
137-02-086,12314 Benham Ave,42557,,Cleveland,4,0,Vacant lot
137-17-089,3729 E 129th St,42557,,Cleveland,4,0,Vacant lot
138-05-103,13116 Benwood Ave,42557,,Cleveland,2,0,Vacant lot
138-12-016,4111 E 136th St,42557,,Cleveland,1,0,Vacant lot
138-22-112,14118 Maplerow Ave,42557,,Cleveland,1,0,Vacant lot
671-11-063,14705 Ardenall Ave,42557,,East Cleveland,,0,Vacant lot
672-01-044,1772 Auburndale Ave,42557,,East Cleveland,,0,Pending transfer
672-01-046,0,42557,,East Cleveland,,0,Pending transfer
672-14-106,1829 Penrose Ave,42557,,East Cleveland,,0,Pending transfer
109-12-046,10527 Greenlawn Ave,42556,,Cleveland,9,0,Vacant lot
110-22-042,12315 Fairport Ave,42556,,Cleveland,9,0,Vacant lot
118-05-019,1771 E 65th St,42556,,Cleveland,7,0,Vacant lot
124-02-094,2431 E 64th St,42556,,Cleveland,5,0,Vacant lot
134-14-032,8101 Dorver Ave,42556,,Cleveland,2,0,Vacant lot
137-05-002,13306 Union Ave,42556,,Cleveland,4,0,Vacant lot
672-01-022,12605 Euclid Ave,42556,,East Cleveland,,0,Pending transfer
672-01-050,1759 Auburndale Ave,42556,,East Cleveland,,0,Pending transfer
672-01-051,1763 Auburndale Ave,42556,,East Cleveland,,0,Pending transfer
672-07-011,1770 Lockwood Ave,42556,,East Cleveland,,0,Pending transfer
672-07-021,12901 Euclid Ave,42556,,East Cleveland,,0,Pending transfer
672-07-032,1769 Hower Ave,42556,,East Cleveland,,0,Pending transfer
672-07-033,1765 Hower Ave,42556,,East Cleveland,,0,Pending transfer
672-07-046,1762 Delmont Ave,42556,,East Cleveland,,0,Pending transfer
672-07-047,1766 Delmont Ave,42556,,East Cleveland,,0,Pending transfer
672-07-053,1779 Delmont Ave,42556,,East Cleveland,,0,Pending transfer
672-07-054,1773 Delmont Ave,42556,,East Cleveland,,0,Pending transfer
672-07-070,1756 Elberon Ave,42556,,East Cleveland,,0,Pending transfer
672-07-105,1781 Hower Ave,42556,,East Cleveland,,0,Pending transfer
672-13-014,1826 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-13-015,1830 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-13-017,1838 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-13-018,1842 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-13-019,1846 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-13-020,1850 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-13-021,1854 Woodlawn Ave,42556,,Cleveland,9,0,Pending transfer
672-13-023,1862 Woodlawn Ave,42556,,Cleveland,9,0,Pending transfer
672-13-025,1831 Lakeview Ave,42556,,East Cleveland,,0,Pending transfer
672-13-027,1821 Lakeview Ave,42556,,East Cleveland,,0,Pending transfer
672-14-007,12640 Euclid (2nd Parcel),42556,,East Cleveland,,0,Pending transfer
672-14-015,1836 Wadena St,42556,,East Cleveland,,0,Pending transfer
672-14-017,1844 Wadena St,42556,,East Cleveland,,0,Pending transfer
672-14-034,12704 Forest Hill Ave,42556,,East Cleveland,,0,Pending transfer
672-14-035,12700 Forest Hill Ave,42556,,Cleveland Heights,,0,Pending transfer
672-14-039,1907 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-043,1891 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-044,1887 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-046,1879 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-047,1875 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-049,1867 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-053,1849 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-054,1847 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-057,1835 Brightwood Ave,42556,,East Cleveland,,0,Pending transfer
672-14-058,1831 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-059,1825 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-060,1821 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-064,1818 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-065,1824 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-066,1828 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-068,1836 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-074,1860 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-076,1868 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-077,1872 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-079,1880 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-084,1902 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-14-086,1910 Brightwood St,42556,,Cleveland,,0,Pending transfer
672-14-092,1893 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-093,1889 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-097,1873 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-107,1827 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-114,1826 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-117,1838 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-118,1842 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-124,1866 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-127,1878 Penrose Ave,42556,,East Cleveland,,0,Pending transfer
672-14-136,1859 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-14-142,1837 Woodlawn Ave,42556,,East Cleveland,,0,Pending transfer
672-14-151,1878 Wadena St (row House),42556,,East Cleveland,,1,Pending transfer
672-14-164,1843 Brightwood St,42556,,East Cleveland,,0,Pending transfer
672-15-004,12900 Euclid Ave,42556,,East Cleveland,,0,Pending transfer
672-15-005,12908 Euclid Ave,42556,,East Cleveland,,0,Pending transfer
672-15-062,1839 Wadena Ave,42556,,East Cleveland,,0,Pending transfer
672-15-079,1880 Roxbury Rd,42556,,East Cleveland,,0,Pending transfer
782-01-006,18209 Mccraken Ave,42556,,Maple Heights,,0,Vacant lot
007-12-054,2327 W 30th St,42548,,Cleveland,3,0,Pending transfer
134-27-024,9422 Cardwell Ave,42548,,Cleveland,2,0,Vacant lot
541-06-036,8032 Garfield Blvd,42548,,Garfield Heights,,0,Vacant lot
672-14-036,12624 Forest Hill Ave,42548,,Cleveland Heights,,0,Pending transfer
016-07-025,3208 W 61st St (fr & Rear),42545,,Cleveland,3,0,Vacant lot
105-28-022,1189 E 71st St,42545,,Cleveland,7,0,Vacant lot
120-02-009,10906 Superior Ave,42545,,Cleveland,9,0,Pending transfer
124-24-011,2798 E 73rd St,42545,,Cleveland,5,0,Vacant lot
125-12-150,6509 Newman Ave,42545,,Cleveland,5,0,Pending transfer
126-16-069,9707 Kennedy Ave,42545,,Cleveland,4,0,Vacant lot
131-28-082,3904 Cullen Dr,42545,,Cleveland,12,0,Vacant lot
672-14-037,12620 Forest Hill Ave,42545,,East Cleveland,,0,Pending transfer
136-14-119,4145 E 98th St,42542,,Cleveland,2,0,Vacant lot
141-07-005,4245 E 160th St,42542,,Cleveland,1,0,Vacant lot
142-25-123,14812 Lawndale Ave,42542,,Cleveland,1,0,Vacant lot
671-12-077,14204 Northfield Ave,42542,,East Cleveland,,0,Vacant lot
108-31-040,11107 Willowmere Ave,42541,,Cleveland,9,0,Vacant lot
110-21-117,11417 Ohlman Ave,42541,,Cleveland,9,0,Vacant lot
121-32-028,2510 E 109th St,42541,,Cleveland,6,0,Pending transfer
125-35-035,3436 E 73rd St,42541,,Cleveland,6,0,Vacant lot
125-36-051,3421 E 76th St,42537,,Cleveland,6,0,Vacant lot
134-04-025,7809 Finney Ave,42537,,Cleveland,12,0,Vacant lot
137-12-001,3607 E 133rd St,42535,,Cleveland,4,0,Vacant lot
109-12-124,10705 Gooding Ave,42534,,Cleveland,9,0,Vacant lot
110-03-088,706 E 115th St,42534,,Cleveland,9,0,Vacant lot
110-20-007,814 E 117th St,42534,,Cleveland,9,0,Vacant lot
116-14-063,718 E 160th St,42534,,Cleveland,8,0,Vacant lot
125-03-020,2990 E 65th St,42534,,Cleveland,5,0,Pending transfer
131-35-088,3725 E 54th St,42534,,Cleveland,12,0,Vacant lot
143-16-045,4680 E 174th St,42534,,Cleveland,1,0,Vacant lot
681-08-008,1013 Nela View,42534,,Cleveland Heights,,0,Vacant lot
129-29-144,12901 Imperial Ave,42528,,Cleveland,4,0,Vacant lot
139-19-039,3708 E 153rd St,42528,,Cleveland,1,0,Vacant lot
143-15-043,4613 E 174th St,42528,,Cleveland,1,0,Vacant lot
006-04-177,2053 W 80th St,42527,,Cleveland,15,0,Vacant lot
006-25-046,7506 Berry Ave,42527,,Cleveland,14,0,Vacant lot
123-31-033,5001 Barkwill Ave,42523,,Cleveland,5,0,Vacant lot
125-34-036,3408 E 71st St,42516,,Cleveland,6,0,Vacant lot
105-30-058,969 E 78th St,42514,,Cleveland,9,0,Vacant lot
106-15-013,7029 Russell Ct,42514,,Cleveland,7,0,Vacant lot
115-27-170,16312 Sanford Ave,42513,,Cleveland,8,0,Vacant lot
128-23-005,Kinsman Road,42513,,Cleveland,4,0,Pending transfer
009-24-094,S Meadow Ln,42506,,Cleveland,12,0,Vacant lot
130-08-043,3390 E 134th St,42506,,Cleveland,4,0,Vacant lot
138-20-043,4321 E 139th St,42506,,Cleveland,1,0,Vacant lot
009-24-082,W 11th St,42505,,Cleveland,12,0,Pending transfer
106-12-037,6718 Lawnview Ave (fence Only),42503,,Cleveland,7,0,Sched for demolition
125-12-118,6537 Philetus Ave,42503,,Cleveland,5,0,Vacant lot
106-06-121,1369 E 84th St,42502,,Cleveland,7,0,Vacant lot
104-25-054,1600 E 47th St (fr & Rear),42500,,Cleveland,7,0,Vacant lot
109-09-055,10212 South Blvd,42499,,Cleveland,9,0,Vacant lot
109-12-094,10630 Gooding Ave,42499,,Cleveland,9,0,Vacant lot
119-05-014,1763 E 88th St,42496,,Cleveland,7,0,Vacant lot
119-29-066,2179 E 85th St,42496,,Cleveland,6,0,Vacant lot
120-09-121,11403 Rosedale Ct,42496,,Cleveland,9,0,Pending transfer
120-13-039,12426 Auburndale Ave,42496,,Cleveland,9,0,Vacant lot
120-13-044,12408 Auburndale Ave,42496,,Cleveland,9,0,Vacant lot
121-16-139,2228 E 95th St,42496,,Cleveland,6,0,Pending transfer
123-20-127,4644 Avery Ave,42496,,Cleveland,5,0,Vacant lot
125-19-019,3023 E 77th St,42496,,Cleveland,5,0,Vacant lot
125-31-013,6826 Morgan Ave,42496,,Cleveland,6,0,Vacant lot
125-35-028,3459 E 72nd St,42496,,Cleveland,6,0,Vacant lot
125-36-037,3464 E 78th St,42496,,Cleveland,6,0,Pending transfer
126-01-061,2432 E 83rd St (front),42496,,Cleveland,6,0,Vacant lot
126-01-128,8009 Keyes Ave,42496,,Cleveland,6,0,Vacant lot
126-03-039,2445 E 84th St,42496,,Cleveland,6,0,Vacant lot
107-15-119,1434 E 88th St,42495,,Cleveland,7,0,Vacant lot
118-24-030,2238 E 76th St (rear Only),42495,,Cleveland,5,0,Vacant lot
